#{"t_start": 1708424537.4409866, "env_id": "None"}
r,l,t
0.0,201,28.109961
0.0,201,28.269264
0.0,201,28.425107
0.0,201,28.589696
0.0,201,28.761479
0.0,201,28.918511
0.0,201,29.083661
0.0,201,29.243948
0.0,201,29.407098
0.0,201,29.575862
0.0,201,29.735317
0.0,201,29.888133
0.0,201,30.066029
0.0,201,30.223348
0.0,201,30.375178
0.0,201,30.541074
0.0,201,30.71365
0.0,201,30.879429
0.0,201,31.030169
0.0,201,31.200049
0.0,201,31.366841
0.0,201,31.529547
0.0,201,31.684222
0.0,201,31.839887
0.0,201,32.004927
0.0,201,32.172057
0.0,201,32.342051
0.0,201,32.499459
0.0,201,32.667427
0.0,201,32.833079
0.0,201,32.987555
0.0,201,33.156866
0.0,201,33.307413
0.0,201,33.472304
0.0,201,33.638624
0.0,201,33.803498
0.0,201,33.969412
0.0,201,34.128475
0.0,201,34.293838
0.0,201,34.468945
0.0,201,34.633455
0.0,201,34.813573
0.0,201,34.971163
0.0,201,35.132708
0.0,201,35.290692
0.0,201,35.45952
0.0,201,35.623248
0.0,201,35.788272
0.0,201,35.947031
0.0,201,36.106449
0.0,201,36.266492
0.0,201,36.422111
0.0,201,36.607553
0.0,201,36.759049
0.0,201,36.923362
0.0,201,37.075018
0.0,201,37.230205
0.0,201,37.384199
0.0,201,37.549824
0.0,201,37.73108
0.0,201,37.892035
0.0,201,38.051788
0.0,201,38.209605
0.0,201,38.362201
0.0,201,38.521632
0.0,201,38.692978
0.0,201,38.893695
0.0,201,39.044916
0.0,201,39.210605
0.0,201,39.35953
0.0,201,39.527954
0.0,201,39.691528
0.0,201,39.845895
0.0,201,40.006916
0.0,201,40.166324
0.0,201,40.352505
0.0,201,40.513905
0.0,201,40.682517
0.0,201,40.843151
0.0,201,41.018629
0.0,201,41.188016
0.0,201,41.340821
0.0,201,41.510983
0.0,201,41.684545
0.0,201,41.85435
0.0,201,42.024025
0.0,201,42.170053
100.0,1,42.171153
0.0,201,42.333874
0.0,201,42.490146
0.0,201,42.648217
0.0,201,42.805449
0.0,201,42.986197
0.0,201,43.169802
0.0,201,43.343307
0.0,201,43.507214
0.0,201,43.668665
0.0,201,43.824511
0.0,201,43.99017
0.0,201,44.145232
0.0,201,44.308249
0.0,201,44.467279
0.0,201,44.629785
0.0,201,44.789197
0.0,201,44.94201
0.0,201,45.083415
0.0,201,45.243689
0.0,201,45.425232
0.0,201,45.587903
0.0,201,45.751547
0.0,201,45.914313
0.0,201,46.085144
0.0,201,46.247325
0.0,201,46.411845
0.0,201,46.584931
0.0,201,46.749694
0.0,201,46.906738
0.0,201,47.076425
0.0,201,47.228209
0.0,201,47.391298
0.0,201,47.565587
